Name,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Brew_ID,City,State
Get Together,2692,0.045,50,1,American IPA,16,1,Minneapolis,MN
Maggie's Leap,2691,0.049,26,1,Milk / Sweet Stout,16,1,Minneapolis,MN
Wall's End,2690,0.048,19,1,English Brown Ale,16,1,Minneapolis,MN
Pumpion,2689,0.06,38,1,Pumpkin Ale,16,1,Minneapolis,MN
Stronghold,2688,0.06,25,1,American Porter,16,1,Minneapolis,MN
Parapet ESB,2687,0.056,47,1,Extra Special / Strong Bitter (ESB),16,1,Minneapolis,MN
Citra Ass Down,2686,0.08,68,2,American Double / Imperial IPA,16,2,Louisville,KY
London Balling,2685,0.125,80,2,English Barleywine,16,2,Louisville,KY
35 K,2684,0.077,25,2,Milk / Sweet Stout,16,2,Louisville,KY
A Beer,2683,0.042,42,2,American Pale Ale (APA),16,2,Louisville,KY
Rules are Rules,2682,0.05,25,2,German Pilsener,16,2,Louisville,KY
Flesh Gourd'n,2681,0.066,21,2,Pumpkin Ale,16,2,Louisville,KY
Sho'nuff,2680,0.04,13,2,Belgian Pale Ale,16,2,Louisville,KY
Bloody Show,2679,0.055,17,2,American Pilsner,16,2,Louisville,KY
Rico Sauvin,2678,0.076,68,2,American Double / Imperial IPA,16,2,Louisville,KY
Coq de la Marche,2677,0.051,38,2,Saison / Farmhouse Ale,16,2,Louisville,KY
Kamen Knuddeln,2676,0.065,NA,2,American Wild Ale,16,2,Louisville,KY
Pile of Face,2675,0.06,65,2,American IPA,16,2,Louisville,KY
The Brown Note,2674,0.05,20,2,English Brown Ale,16,2,Louisville,KY
House Lager,2673,0.052,18,3,Keller Bier / Zwickel Bier,16,3,Framingham,MA
Leisure Time,2672,0.048,15,3,American Pale Lager,12,3,Framingham,MA
Excess IPL,2671,0.072,80,3,American India Pale Lager,16,3,Framingham,MA
Hoponius Union,2670,0.067,65,3,American India Pale Lager,12,3,Framingham,MA
Calyptra,2669,0.049,45,3,American India Pale Lager,12,3,Framingham,MA
Habitus (2014),2668,0.08,100,4,American Double / Imperial IPA,16,4,San Diego,CA
